seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12625,2024,DEN.1,607,12577,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2024-09-24 04:54:34
12625,2024,DEN.1,575,33435,19,0,7,11,1,0,0,1,0,1,11,0,0,0,29,2025-03-19 04:46:00
12625,2024,DEN.1,21933,87487,26,7,0,0,5,0,0,0,0,0,0,0,0,0,30,2024-07-13 02:45:58
12625,2024,DEN.1,7853,99920,22,0,0,1,0,0,0,0,0,0,0,0,0,50,23,2025-03-19 04:45:59
12625,2024,DEN.1,7860,105216,3,0,2,0,0,0,0,0,0,0,0,0,0,0,5,2025-01-01 05:39:42
12625,2024,DEN.1,7860,106073,11,3,2,3,1,0,0,0,0,0,7,0,0,0,11,2025-03-19 04:46:01
12625,2024,DEN.1,12498,107063,18,12,9,3,0,0,0,2,0,5,8,0,0,0,13,2025-03-19 04:46:02
12625,2024,DEN.1,11550,108321,10,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2024-07-13 02:45:57
12625,2024,DEN.1,572,109962,15,2,14,11,4,0,0,1,0,1,9,0,0,0,14,2025-01-01 05:39:42
12625,2024,DEN.1,7853,118411,22,0,29,21,1,0,0,0,0,26,47,16,0,0,20,2025-03-19 04:45:59
12625,2024,DEN.1,3101,129916,12,0,6,3,2,0,0,0,0,0,3,0,0,0,18,2025-03-19 04:46:01
12625,2024,DEN.1,3132,131741,13,13,0,3,0,0,0,0,0,0,1,0,0,0,3,2025-03-19 04:46:02
12625,2024,DEN.1,7853,133567,17,1,18,15,2,0,0,0,0,3,7,1,0,0,14,2025-03-19 04:45:59
12625,2024,DEN.1,12498,134000,5,3,1,1,0,0,0,0,0,0,1,0,0,0,5,2025-03-19 04:46:02
12625,2024,DEN.1,3101,134257,8,4,1,3,0,0,0,0,0,0,0,0,0,0,6,2025-03-19 04:46:01
12625,2024,DEN.1,12498,137404,19,13,12,5,1,0,0,0,0,3,14,1,0,0,13,2025-03-19 04:46:02
12625,2024,DEN.1,7860,142329,11,8,10,10,3,0,0,0,0,0,1,0,0,0,5,2025-03-19 04:46:01
12625,2024,DEN.1,3101,145645,22,0,0,1,0,0,0,0,0,0,0,0,0,46,36,2025-03-19 04:46:01
12625,2024,DEN.1,3101,146803,20,0,15,23,7,0,0,3,0,12,27,3,0,0,28,2025-03-19 04:46:01
12625,2024,DEN.1,11550,147001,24,5,0,0,3,0,0,0,0,0,0,0,0,0,30,2024-07-13 02:45:57
12625,2024,DEN.1,7853,150039,10,10,2,3,1,0,0,0,0,0,3,0,0,0,2,2025-03-19 04:45:59
12625,2024,DEN.1,607,150067,22,0,0,7,0,0,0,0,0,0,0,0,0,65,27,2025-03-19 04:46:02
12625,2024,DEN.1,909,151053,11,2,11,19,2,1,0,2,0,3,11,0,0,0,11,2025-03-19 04:46:00
12625,2024,DEN.1,11550,151443,31,4,0,0,2,0,0,0,0,7,7,7,0,0,33,2024-07-13 02:45:57
12625,2024,DEN.1,909,151757,16,2,28,22,6,0,0,2,0,7,16,2,0,0,12,2025-03-19 04:46:00
12625,2024,DEN.1,21933,152830,21,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2024-07-13 02:45:58
12625,2024,DEN.1,572,152859,2,0,0,0,0,0,0,0,0,0,0,0,0,10,1,2025-03-19 04:46:01
12625,2024,DEN.1,11550,153120,20,5,0,0,8,1,0,0,0,1,1,1,0,0,24,2024-07-13 02:45:57
12625,2024,DEN.1,575,153822,21,4,14,24,3,0,0,1,0,9,19,1,0,0,27,2025-03-19 04:46:00
12625,2024,DEN.1,2986,153920,9,8,4,2,0,0,0,2,0,0,3,0,0,0,4,2025-03-19 04:46:00
12625,2024,DEN.1,21933,156841,11,7,0,0,0,0,0,0,0,0,0,0,0,0,14,2024-07-13 02:45:58
12625,2024,DEN.1,3132,159494,22,0,0,2,1,0,0,0,0,0,0,0,0,61,28,2025-03-19 04:46:02
12625,2024,DEN.1,909,162484,21,3,18,24,1,0,0,6,0,23,73,7,0,0,18,2025-03-19 04:46:00
12625,2024,DEN.1,11550,165722,22,1,0,0,3,0,0,0,0,1,1,1,0,0,30,2024-07-13 02:45:57
12625,2024,DEN.1,3101,166658,5,2,3,2,0,0,0,0,0,0,0,0,0,0,4,2025-03-19 04:46:01
12625,2024,DEN.1,21933,169758,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-07-13 02:45:58
12625,2024,DEN.1,8118,170636,14,1,0,5,1,0,0,0,0,0,0,0,0,46,30,2025-01-01 05:39:43
12625,2024,DEN.1,909,172864,20,7,14,8,1,0,0,2,0,12,33,5,0,0,13,2025-03-19 04:46:00
12625,2024,DEN.1,7860,173141,13,7,6,7,2,0,0,0,0,1,8,0,0,0,3,2025-03-19 04:46:01
12625,2024,DEN.1,21933,173801,19,11,0,0,1,0,1,0,0,3,3,2,0,0,21,2024-07-13 02:45:58
12625,2024,DEN.1,12498,174014,16,5,20,11,3,0,0,3,0,1,5,1,0,0,30,2025-03-19 04:46:02
12625,2024,DEN.1,572,176497,14,1,20,9,4,0,0,0,0,3,7,1,0,0,16,2025-03-19 04:46:01
12625,2024,DEN.1,909,176668,10,3,22,9,3,0,0,1,0,7,20,2,0,0,9,2025-03-19 04:46:00
12625,2024,DEN.1,575,176764,15,4,10,5,1,0,0,0,0,0,3,0,0,0,12,2025-03-19 04:46:00
12625,2024,DEN.1,572,178241,4,3,1,2,0,0,0,0,0,0,3,0,0,0,0,2024-08-25 03:14:31
12625,2024,DEN.1,3132,178241,21,3,26,17,3,0,0,0,0,2,14,1,0,0,19,2025-03-19 04:46:02
12625,2024,DEN.1,7860,178351,19,0,1,2,1,0,0,1,0,0,0,0,0,73,23,2025-03-19 04:46:01
12625,2024,DEN.1,7860,178481,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-13 04:45:16
12625,2024,DEN.1,7860,178687,15,5,10,7,2,0,1,0,0,1,8,0,0,0,15,2025-01-01 05:39:42
12625,2024,DEN.1,11550,178688,23,16,0,0,1,0,0,0,0,0,0,0,0,0,18,2024-07-13 02:45:57
12625,2024,DEN.1,3132,182080,22,0,9,12,2,0,0,1,0,6,11,1,0,0,28,2025-03-19 04:46:02
12625,2024,DEN.1,3153,185926,4,0,1,4,1,1,1,0,0,0,0,0,0,0,10,2025-03-19 04:46:03
12625,2024,DEN.1,8118,186179,20,2,10,4,2,0,0,3,0,0,2,0,0,0,44,2025-03-19 04:46:02
12625,2024,DEN.1,3101,186324,17,0,27,10,3,0,1,1,0,16,40,5,0,0,26,2025-01-01 05:39:42
12625,2024,DEN.1,909,186491,16,3,23,12,1,0,0,0,0,4,13,0,0,0,13,2025-03-19 04:46:00
12625,2024,DEN.1,12498,187625,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,2025-01-01 05:39:44
12625,2024,DEN.1,575,189653,18,3,14,7,2,0,0,3,0,7,20,0,0,0,26,2025-03-19 04:46:00
12625,2024,DEN.1,7853,191167,18,2,27,16,4,0,0,2,0,3,7,1,0,0,13,2025-03-19 04:45:59
12625,2024,DEN.1,909,191176,5,2,3,0,1,0,0,0,0,1,2,0,0,0,4,2024-09-01 04:59:28
12625,2024,DEN.1,909,192115,7,2,2,4,0,0,0,0,0,1,1,0,0,0,4,2025-03-19 04:46:00
12625,2024,DEN.1,2986,192508,11,3,6,3,4,0,1,0,0,0,3,0,0,0,22,2025-03-19 04:46:00
12625,2024,DEN.1,607,192926,22,9,16,16,3,0,0,1,0,8,19,3,0,0,19,2025-03-19 04:46:02
12625,2024,DEN.1,909,193621,8,4,2,6,0,0,0,1,0,1,6,0,0,0,3,2025-03-19 04:46:00
12625,2024,DEN.1,11550,194215,15,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2024-07-13 02:45:57
12625,2024,DEN.1,575,196192,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2025-03-19 04:46:00
12625,2024,DEN.1,572,199274,7,4,2,3,0,0,0,1,0,1,5,0,0,0,3,2025-03-19 04:46:01
12625,2024,DEN.1,909,199274,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2024-08-08 08:46:52
12625,2024,DEN.1,909,199330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-19 04:46:00
12625,2024,DEN.1,607,202681,3,1,4,4,0,0,0,0,0,2,6,0,0,0,2,2024-08-15 08:44:56
12625,2024,DEN.1,572,202709,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-09-14 04:55:06
12625,2024,DEN.1,3132,206150,21,0,9,10,3,0,0,0,0,5,7,2,0,0,27,2025-03-19 04:46:02
12625,2024,DEN.1,607,206211,9,6,5,1,2,0,0,1,0,1,2,1,0,0,5,2025-03-19 04:46:02
12625,2024,DEN.1,607,206506,9,0,5,3,1,0,0,0,0,0,0,0,0,0,13,2025-01-01 05:39:43
