seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12648,2024,KSA.KINGS.CUP,21966,41549,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2024-09-26 05:14:54
12648,2024,KSA.KINGS.CUP,2276,46858,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2024-09-26 05:14:48
12648,2024,KSA.KINGS.CUP,22024,90951,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-09-26 05:14:47
12648,2024,KSA.KINGS.CUP,8363,98342,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2024-09-26 05:14:45
12648,2024,KSA.KINGS.CUP,793,113667,1,0,0,2,0,0,0,1,0,2,3,1,0,0,1,2024-09-26 05:14:49
12648,2024,KSA.KINGS.CUP,22022,122260,1,0,0,2,0,0,0,0,0,1,2,1,0,0,1,2024-09-26 05:14:55
12648,2024,KSA.KINGS.CUP,21827,123605,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2024-09-26 05:14:42
12648,2024,KSA.KINGS.CUP,21835,129195,1,1,1,0,0,0,0,0,0,2,3,1,0,0,1,2024-09-26 05:14:55
12648,2024,KSA.KINGS.CUP,22029,132709,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2024-09-26 05:14:55
12648,2024,KSA.KINGS.CUP,22029,134205,1,0,2,3,0,0,0,0,0,1,2,1,0,0,4,2024-09-26 05:14:55
12648,2024,KSA.KINGS.CUP,21964,137008,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2024-09-26 05:14:43
12648,2024,KSA.KINGS.CUP,22022,140079,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2024-09-26 05:14:55
12648,2024,KSA.KINGS.CUP,22024,143775,1,0,0,1,1,0,0,0,0,0,0,0,0,3,0,2024-09-26 05:14:47
12648,2024,KSA.KINGS.CUP,21964,146710,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2024-09-26 05:14:43
12648,2024,KSA.KINGS.CUP,8346,147234,1,0,1,1,0,0,0,0,0,0,1,0,0,0,2,2024-09-26 05:14:44
12648,2024,KSA.KINGS.CUP,22024,147535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-09-26 05:14:47
12648,2024,KSA.KINGS.CUP,21829,148180,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2024-09-26 05:14:44
12648,2024,KSA.KINGS.CUP,793,149938,1,0,2,0,1,0,0,1,0,0,0,0,0,0,1,2024-09-26 05:14:49
12648,2024,KSA.KINGS.CUP,929,150312,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2024-09-26 05:14:46
12648,2024,KSA.KINGS.CUP,22022,157710,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,2024-09-26 05:14:55
12648,2024,KSA.KINGS.CUP,21827,158604,1,0,1,2,0,0,0,0,0,2,2,1,0,0,0,2024-09-26 05:14:42
12648,2024,KSA.KINGS.CUP,817,159317,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2024-09-26 05:14:43
12648,2024,KSA.KINGS.CUP,22029,159319,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2024-09-26 05:14:55
12648,2024,KSA.KINGS.CUP,21829,160020,1,1,0,1,0,0,0,0,0,1,6,1,0,0,4,2024-09-26 05:14:44
