seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12695,706784,0,43569446,50',Clément Vidal (AC Ajaccio) Yellow Card at 50',2024-10-14 07:06:39
12695,706784,1,43569447,60',Christopher Ibayi (AC Ajaccio) Substitution at 60',2024-10-14 07:06:39
12695,706784,2,43569448,60',Valentin Jacob (AC Ajaccio) Substitution at 60',2024-10-14 07:06:39
12695,706784,3,43569449,71',Moussa Soumano (AC Ajaccio) Substitution at 71',2024-10-14 07:06:39
12695,706784,4,43569450,71',Thomas Mangani (AC Ajaccio) Substitution at 71',2024-10-14 07:06:39
12695,706784,5,43569451,73',Mohamed Achi (Rodez Aveyron) Substitution at 73',2024-10-14 07:06:39
12695,706784,6,43569452,74',Ibrahima Baldé (Rodez Aveyron) Substitution at 74',2024-10-14 07:06:39
12695,706784,7,43569453,79',Michael Barreto (AC Ajaccio) Goal at 79',2024-10-14 07:06:39
12695,706784,8,43569454,86',Aurelien Pelon (Rodez Aveyron) Substitution at 86',2024-10-14 07:06:39
12695,706784,9,43569455,86',Cheick Mohamed Doumbia (Rodez Aveyron) Substitution at 86',2024-10-14 07:06:39
12695,706784,10,43569456,90'+6',Francois-Joseph Sollacaro (AC Ajaccio) Yellow Card at 96',2024-10-14 07:06:39
12695,706785,0,43556062,43',Osaze Urhoghide (SC Amiens) Goal at 43',2024-10-14 07:06:39
12695,706785,1,43556220,46',Louis Mafouta (SC Amiens) Goal at 46',2024-10-14 07:06:39
12695,706785,2,43556248,49',Kylian Kaïboué (SC Amiens) Yellow Card at 49',2024-10-14 07:06:39
12695,706785,3,43556347,57',Antoine Leautey (SC Amiens) Goal at 57',2024-10-14 07:06:39
12695,706785,4,43556484,64',Aliou Badji (Red Star FC 93) Substitution at 64',2024-10-14 07:06:39
12695,706785,5,43556485,64',Hacène Benali (Red Star FC 93) Substitution at 64',2024-10-14 07:06:39
12695,706785,6,43556486,65',Damien Durand (Red Star FC 93) Substitution at 65',2024-10-14 07:06:39
12695,706785,7,43556599,74',Mathis Touho (SC Amiens) Substitution at 74',2024-10-14 07:06:39
12695,706785,8,43556683,80',Andy Carroll (SC Amiens) Substitution at 80',2024-10-14 07:06:39
12695,706785,9,43556754,84',Fred Dembi (Red Star FC 93) Substitution at 84',2024-10-14 07:06:39
12695,706785,10,43556816,88',Aniss El Hriti (Red Star FC 93) Substitution at 88',2024-10-14 07:06:39
12695,706785,11,43556851,90'+3',Amine Chabane (SC Amiens) Substitution at 93',2024-10-14 07:06:39
12695,706785,12,43556852,90'+3',Elyess Dao (SC Amiens) Substitution at 93',2024-10-14 07:06:39
12695,706785,13,43556853,90'+3',Ibrahim Fofana (SC Amiens) Substitution at 93',2024-10-14 07:06:39
12695,706786,0,43560396,28',Noé Lebreton (Caen) Yellow Card at 28',2024-10-14 07:06:39
12695,706786,1,43560950,64',Daylam Meddah (Caen) Yellow Card at 64',2024-10-14 07:06:39
12695,706786,2,43561006,67',Alimani Gory (Paris FC) Substitution at 67',2024-10-14 07:06:39
12695,706786,3,43561007,67',Ayoub Jabbari (Paris FC) Substitution at 67',2024-10-14 07:06:39
12695,706786,4,43561042,70',Yann M'vila (Caen) Substitution at 70',2024-10-14 07:06:39
12695,706786,5,43561043,71',Lorenzo Rajot (Caen) Substitution at 71',2024-10-14 07:06:39
12695,706786,6,43561170,74',Diedounne Gaucho Debohi (Caen) Yellow Card at 74',2024-10-14 07:06:39
12695,706786,7,43561171,75',Tidiam Gomis (Caen) Substitution at 75',2024-10-14 07:06:39
12695,706786,8,43561198,76',Alimani Gory (Paris FC) Goal at 76',2024-10-14 07:06:39
12695,706786,9,43561278,78',Julien Lopez (Paris FC) Substitution at 78',2024-10-14 07:06:39
12695,706786,10,43561279,78',Jules Gaudin (Paris FC) Substitution at 78',2024-10-14 07:06:39
12695,706786,11,43561476,82',Mohamed Hafid (Caen) Substitution at 82',2024-10-14 07:06:39
12695,706786,12,43561477,83',Alimani Gory (Paris FC) Yellow Card at 83',2024-10-14 07:06:39
12695,706786,13,43561512,86',Ilan Kebbal (Paris FC) Penalty - Scored at 86',2024-10-14 07:06:39
12695,706786,14,43561639,88',Josias Lukembila (Paris FC) Substitution at 88',2024-10-14 07:06:39
12695,706787,0,43555683,7',Habib Keita (Clermont Foot) Goal at 7',2024-10-14 07:06:39
12695,706787,1,43555765,16',Khalid Boutaïb (Pau) Goal at 16',2024-10-14 07:06:39
12695,706787,2,43555831,22',Joseph Kalulu Kyatengwa (Pau) Substitution at 22',2024-10-14 07:06:39
12695,706787,3,43555841,24',Oumar Ngom (Pau) Yellow Card at 24',2024-10-14 07:06:39
12695,706787,4,43555890,27',Yoel Armougom (Clermont Foot) Yellow Card at 27',2024-10-14 07:06:39
12695,706787,5,43555971,34',Yadaly Diaby (Clermont Foot) Substitution at 34',2024-10-14 07:06:39
12695,706787,6,43556101,45'+2',Tairyk Arconte (Pau) Goal at 47',2024-10-14 07:06:39
12695,706787,7,43556442,60',Henri Saivet (Clermont Foot) Goal at 60',2024-10-14 07:06:39
12695,706787,8,43556474,61',Allan Ackra (Clermont Foot) Substitution at 61',2024-10-14 07:06:39
12695,706787,9,43556540,67',Antoine Mille (Pau) Substitution at 67',2024-10-14 07:06:39
12695,706787,10,43556558,67',Yonis Njoh (Pau) Substitution at 67',2024-10-14 07:06:39
12695,706787,11,43556632,72',Ousmane Kanté (Pau) Substitution at 72',2024-10-14 07:06:39
12695,706787,12,43556848,85',Aiman Maurer (Clermont Foot) Substitution at 85',2024-10-14 07:06:39
12695,706787,13,43556817,86',Musa Toure (Clermont Foot) Substitution at 86',2024-10-14 07:06:39
12695,706787,14,43556869,90',Antoine Mille (Pau) Yellow Card at 90',2024-10-14 07:06:39
12695,706787,15,43556920,90'+5',Antonin Bobichon (Pau) Red Card at 95',2024-10-14 07:06:39
12695,706787,16,43557002,90'+5',Ousmane Kanté (Pau) Yellow Card at 95',2024-10-14 07:06:39
12695,706788,0,43569457,52',Ahmed Kashi (Annecy) Goal at 52',2024-10-14 07:06:39
12695,706788,1,43569458,66',Thibault Delphis (Annecy) Substitution at 66',2024-10-14 07:06:39
12695,706788,2,43569459,71',Francois Lajugie (Annecy) Yellow Card at 71',2024-10-14 07:06:39
12695,706788,3,43569460,72',Gessime Yassine (Dunkerque) Substitution at 72',2024-10-14 07:06:39
12695,706788,4,43569461,72',Christian Senneville (Dunkerque) Substitution at 72',2024-10-14 07:06:39
12695,706788,5,43569462,80',Yohan Demoncy (Annecy) Yellow Card at 80',2024-10-14 07:06:39
12695,706788,6,43569463,80',Gaetan Courtet (Dunkerque) Yellow Card at 80',2024-10-14 07:06:39
12695,706788,7,43569464,81',Julien Kouadio (Annecy) Substitution at 81',2024-10-14 07:06:39
12695,706788,8,43569465,82',Axel Drouhin (Annecy) Substitution at 82',2024-10-14 07:06:39
12695,706788,9,43569466,82',Benjaloud Youssouf (Dunkerque) Substitution at 82',2024-10-14 07:06:39
12695,706788,10,43569467,84',Francois Lajugie (Annecy) Goal at 84',2024-10-14 07:06:39
12695,706788,11,43569468,89',Noha Lemina (Annecy) Substitution at 89',2024-10-14 07:06:39
12695,706788,12,43569469,90',Loïc Bessile (Dunkerque) Substitution at 90',2024-10-14 07:06:39
12695,706789,0,43569473,33',Allan Tchaptchet (Grenoble) Yellow Card at 33',2024-10-14 07:06:39
12695,706789,1,43569474,50',Arial Mendy (Grenoble) Yellow Card at 50',2024-10-14 07:06:39
12695,706789,2,43569475,59',Peter Quaneh (Stade Laval) Substitution at 59',2024-10-14 07:06:39
12695,706789,3,43569476,61',Lenny Joseph (Grenoble) Goal at 61',2024-10-14 07:06:39
