seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12726,714861,0,43489151,15',Harrison Howe (Stirling Albion) Yellow Card at 15',2024-08-04 09:28:48
12726,714861,1,43489220,45',Callum Crane (Stirling Albion) Yellow Card at 45',2024-08-04 09:28:48
12726,714861,2,43489269,45',Aaron Weir (Stirling Albion) Substitution at 45',2024-08-04 09:28:48
12726,714861,3,43489360,57',Cameron Mckinlay (Stirling Albion) Substitution at 57',2024-08-04 09:28:48
12726,714861,4,43489385,62',Kodi Mckinstray (Edinburgh City) Substitution at 62',2024-08-04 09:28:48
12726,714861,5,43489414,67',Connor Young (Edinburgh City) Goal at 67',2024-08-04 09:28:48
12726,714861,6,43489461,71',Bailey Dall (Stirling Albion) Yellow Card at 71',2024-08-04 09:28:48
12726,714861,7,43489521,77',Cooper Knox (Stirling Albion) Substitution at 77',2024-08-04 09:28:48
12726,714861,8,43489592,86',Joshua Kerr (Stirling Albion) Goal at 86',2024-08-04 09:28:48
12726,714861,9,43489633,90',Dale Carrick (Stirling Albion) Goal at 90',2024-08-04 09:28:48
12726,714862,0,43489389,60',Andrew McCarthy (Peterhead) Yellow Card at 60',2024-08-04 09:28:48
12726,714862,1,43489423,65',Kieran Sommerville (Bonnyrigg Rose) Yellow Card at 65',2024-08-04 09:28:48
12726,714862,2,43489424,65',Ben Armour (Peterhead) Substitution at 65',2024-08-04 09:28:48
12726,714862,3,43489425,65',Sebastian Ross (Peterhead) Substitution at 65',2024-08-04 09:28:48
12726,714862,4,43489444,67',Dean Watson (Bonnyrigg Rose) Substitution at 67',2024-08-04 09:28:48
12726,714862,5,43489495,72',Cameron Smith (Peterhead) Substitution at 72',2024-08-04 09:28:48
12726,714862,6,43489529,75',Keiran Mcgachie (Bonnyrigg Rose) Substitution at 75',2024-08-04 09:28:48
12726,714862,7,43489530,76',Owen Waddell (Bonnyrigg Rose) Substitution at 76',2024-08-04 09:28:48
12726,714862,8,43489602,84',Keiran Mcgachie (Bonnyrigg Rose) Yellow Card at 84',2024-08-04 09:28:48
12726,714862,9,43489632,87',Danny Strachan (Peterhead) Substitution at 87',2024-08-04 09:28:48
12726,714862,10,43489655,90'+1',Ben Armour (Peterhead) Goal at 91',2024-08-04 09:28:48
12726,714862,11,43489674,90'+6',Angus Mailer (Bonnyrigg Rose) Red Card at 96',2024-08-04 09:28:48
12726,714863,0,43489197,35',Raymond Grant (Clyde) Yellow Card at 35',2024-08-04 09:28:48
12726,714863,1,43489399,65',Lee Connelly (Clyde) Substitution at 65',2024-08-04 09:28:48
12726,714863,2,43489400,65',Logan Dunachie (Clyde) Substitution at 65',2024-08-04 09:28:48
12726,714863,3,43489401,66',Kieran Inglis (Forfar Athletic) Substitution at 66',2024-08-04 09:28:48
12726,714863,4,43489508,77',Robbie Leitch (Clyde) Substitution at 77',2024-08-04 09:28:48
12726,714863,5,43489509,77',Jordan Houston (Clyde) Substitution at 77',2024-08-04 09:28:48
12726,714863,6,43489580,83',Arran Cocks (Forfar Athletic) Substitution at 83',2024-08-04 09:28:48
12726,714863,7,43489581,84',Kyle Connell (Clyde) Substitution at 84',2024-08-04 09:28:48
12726,714863,8,43489628,90',Ross MacLean (Forfar Athletic) Yellow Card at 90',2024-08-04 09:28:48
12726,714864,0,43489126,6',Lewis Hyde (Elgin City) Yellow Card at 6',2024-08-04 09:28:48
12726,714864,1,43489155,20',Kieran Millar (East Fife) Yellow Card at 20',2024-08-04 09:28:48
12726,714864,2,43489198,38',Kyle Girvan (Elgin City) Goal at 38',2024-08-04 09:28:48
12726,714864,3,43489207,41',Jack Murray (Elgin City) Goal at 41',2024-08-04 09:28:48
12726,714864,4,43489257,45',Scott Shepherd (East Fife) Substitution at 45',2024-08-04 09:28:48
12726,714864,5,43489279,49',Russell Dingwall (Elgin City) Goal at 49',2024-08-04 09:28:48
12726,714864,6,43489333,54',Sean Docherty (East Fife) Substitution at 54',2024-08-04 09:28:48
12726,714864,7,43489334,54',Adam Laaref (East Fife) Substitution at 54',2024-08-04 09:28:48
12726,714864,8,43489372,60',Ryan Sargent (Elgin City) Substitution at 60',2024-08-04 09:28:48
12726,714864,9,43489383,62',Conor McManus (East Fife) Substitution at 62',2024-08-04 09:28:48
12726,714864,10,43489384,62',Patrick Slattery (East Fife) Substitution at 62',2024-08-04 09:28:48
12726,714864,11,43489393,64',Dylan Gavin (Elgin City) Yellow Card at 64',2024-08-04 09:28:48
12726,714864,12,43489430,68',Michael Dangana (Elgin City) Substitution at 68',2024-08-04 09:28:48
12726,714864,13,43489454,71',Andrew Munro (East Fife) Goal at 71',2024-08-04 09:28:48
12726,714864,14,43489510,76',Conor McManus (East Fife) Goal at 76',2024-08-04 09:28:48
12726,714864,15,43489578,84',Owen Cairns (Elgin City) Substitution at 84',2024-08-04 09:28:48
12726,714864,16,43489579,85',Ryan Sargent (Elgin City) Yellow Card at 85',2024-08-04 09:28:48
12726,714864,17,43489586,85',Ryan Sargent (Elgin City) Goal at 85',2024-08-04 09:28:48
12726,714864,18,43489669,90'+5',Scott Shepherd (East Fife) Yellow Card at 95',2024-08-04 09:28:48
12726,714865,0,43489164,20',Deryn Lang (Stranraer) Goal at 20',2024-08-04 09:28:48
12726,714865,1,43489175,26',Elliot Dunlop (Stranraer) Goal at 26',2024-08-04 09:28:48
12726,714865,2,43489221,43',Lewis Hunter (Spartans FC) Yellow Card at 43',2024-08-04 09:28:48
12726,714865,3,43489311,50',Paul Watson (Spartans FC) Goal at 50',2024-08-04 09:28:48
12726,714865,4,43489473,69',Ryan Edgar (Stranraer) Substitution at 69',2024-08-04 09:28:48
12726,714865,5,43489474,69',Brogan Walls (Spartans FC) Substitution at 69',2024-08-04 09:28:48
12726,714865,6,43489516,73',Tomas Brindley (Stranraer) Yellow Card at 73',2024-08-04 09:28:48
12726,714865,7,43489517,74',Paul Watson (Spartans FC) Goal at 74',2024-08-04 09:28:48
12726,714865,8,43489568,79',Matthew Grant (Stranraer) Substitution at 79',2024-08-04 09:28:48
12726,714865,9,43489675,90'+3',Kirk Mcknight (Stranraer) Yellow Card at 93',2024-08-04 09:28:48
12726,714866,0,43520224,24',Deryn Lang (Stranraer) Substitution at 24',2024-08-11 09:18:25
12726,714866,1,43520439,45',Logan Dunachie (Clyde) Substitution at 45',2024-08-11 09:18:25
12726,714866,2,43520440,45',Lee Connelly (Clyde) Substitution at 45',2024-08-11 09:18:25
12726,714866,3,43520441,45',Kyle Connell (Clyde) Substitution at 45',2024-08-11 09:18:25
12726,714866,4,43520613,62',Kirk Mcknight (Stranraer) Yellow Card at 62',2024-08-11 09:18:25
12726,714866,5,43520614,63',Raymond Grant (Clyde) Goal at 63',2024-08-11 09:18:25
12726,714866,6,43520630,64',Ryan Edgar (Stranraer) Substitution at 64',2024-08-11 09:18:25
12726,714866,7,43520747,73',Martin Rennie (Clyde) Substitution at 73',2024-08-11 09:18:25
12726,714866,8,43520808,78',Matthew Grant (Stranraer) Substitution at 78',2024-08-11 09:18:25
12726,714866,9,43520922,83',Craig Howie (Clyde) Substitution at 83',2024-08-11 09:18:25
12726,714867,0,43520505,56',Shea Scally (Edinburgh City) Substitution at 56',2024-08-11 09:18:25
12726,714867,1,43520643,68',Liam Newton (East Fife) Goal at 68',2024-08-11 09:18:25
12726,714867,2,43520684,71',Robbie Walker (Edinburgh City) Substitution at 71',2024-08-11 09:18:25
12726,714867,3,43520685,71',Jake Rennie (Edinburgh City) Substitution at 71',2024-08-11 09:18:25
12726,714867,4,43520686,71',Brian Easton (East Fife) Yellow Card at 71',2024-08-11 09:18:25
12726,714867,5,43520687,71',Andrew Munro (East Fife) Yellow Card at 71',2024-08-11 09:18:25
12726,714867,6,43520697,73',Alan Trouten (East Fife) Goal at 73',2024-08-11 09:18:25
12726,714867,7,43520812,81',Jack Healy (East Fife) Substitution at 81',2024-08-11 09:18:25
12726,714867,8,43520852,82',Conor Mcmanus (East Fife) Yellow Card at 82',2024-08-15 09:25:10
12726,714867,9,43520935,87',Patrick Slattery (East Fife) Substitution at 87',2024-08-11 09:18:25
12726,714867,10,43520936,87',Adam Laaref (East Fife) Substitution at 87',2024-08-11 09:18:25
12726,714867,11,43521012,90',Callum Waller (Edinburgh City) Substitution at 90',2024-08-11 09:18:25
12726,714867,12,43521013,90',Struan Mair (Edinburgh City) Substitution at 90',2024-08-11 09:18:25
12726,714867,13,43521037,90'+1',Edin Lynch (Edinburgh City) Yellow Card at 91',2024-08-11 09:18:25
12726,714868,0,43520222,25',Ross MacLean (Forfar Athletic) Yellow Card at 25',2024-08-11 09:18:25
12726,714868,1,43520223,26',Rory McAllister (Peterhead) Goal at 26',2024-08-11 09:18:25
12726,714868,2,43520235,29',Finn Robson (Forfar Athletic) Yellow Card at 29',2024-08-11 09:18:25
12726,714868,3,43520236,30',Jason Brown (Peterhead) Yellow Card at 30',2024-08-11 09:18:25
12726,714868,4,43520563,61',Kieran Inglis (Forfar Athletic) Substitution at 61',2024-08-11 09:18:25
12726,714868,5,43520677,71',Stuart Morrison (Forfar Athletic) Yellow Card at 71',2024-08-11 09:18:25
12726,714868,6,43520715,72',Ben Armour (Peterhead) Substitution at 72',2024-08-11 09:18:25
12726,714868,7,43520716,72',Cameron Smith (Peterhead) Substitution at 72',2024-08-11 09:18:25
12726,714868,8,43520735,75',Jackson Mylchreest (Forfar Athletic) Substitution at 75',2024-08-11 09:18:25
12726,714868,9,43520749,76',Jackson Mylchreest (Forfar Athletic) Goal at 76',2024-08-11 09:18:25
12726,714868,10,43520773,78',Jack Brown (Peterhead) Substitution at 78',2024-08-11 09:18:25
12726,714868,11,43520774,78',Sebastian Ross (Peterhead) Substitution at 78',2024-08-11 09:18:25
12726,714868,12,43520799,80',Blair Malcolm (Forfar Athletic) Yellow Card at 80',2024-08-11 09:18:25
12726,714868,13,43520830,82',Mark Whatley (Forfar Athletic) Substitution at 82',2024-08-11 09:18:25
12726,714868,14,43521064,90'+2',Sebastian Ross (Peterhead) Goal at 92',2024-08-11 09:18:25
12726,714869,0,43520209,21',Mark Gallagher (Elgin City) Goal at 21',2024-08-11 09:18:25
12726,714869,1,43520580,60',Ryan Sargent (Elgin City) Substitution at 60',2024-08-11 09:18:25
12726,714869,2,43520621,64',Dale Carrick (Stirling Albion) Substitution at 64',2024-08-11 09:18:25
12726,714869,3,43520739,72',Cooper Knox (Stirling Albion) Substitution at 72',2024-08-11 09:18:25
12726,714869,4,43520740,72',Dale Hilson (Stirling Albion) Substitution at 72',2024-08-11 09:18:25
12726,714869,5,43520803,78',Sam Featherstone (Stirling Albion) Substitution at 78',2024-08-11 09:18:25
12726,714869,6,43520870,81',Ryan Macleman (Elgin City) Substitution at 81',2024-08-11 09:18:25
12726,714869,7,43521111,90'+3',Owen Cairns (Elgin City) Substitution at 93',2024-08-11 09:18:25
12726,714870,0,43520322,41',Lewis Hunter (Spartans FC) Yellow Card at 41',2024-08-11 09:18:25
12726,714870,1,43520579,59',Blair Henderson (Spartans FC) Goal at 59',2024-08-11 09:18:25
12726,714870,2,43520615,63',Lee Currie (Bonnyrigg Rose) Yellow Card at 63',2024-08-11 09:18:25
12726,714870,3,43520674,66',Brogan Walls (Spartans FC) Substitution at 66',2024-08-11 09:18:25
12726,714870,4,43520675,66',Rory Whittaker (Spartans FC) Substitution at 66',2024-08-11 09:18:25
12726,714870,5,43520691,68',Sean Murphy (Bonnyrigg Rose) Yellow Card at 68',2024-08-11 09:18:25
12726,714870,6,43520717,69',Cameron Russell (Spartans FC) Yellow Card at 69',2024-08-11 09:18:25
12726,714870,7,43520718,70',Dean Watson (Bonnyrigg Rose) Substitution at 70',2024-08-11 09:18:25
12726,714870,8,43520838,78',Ben Scarborough (Bonnyrigg Rose) Substitution at 78',2024-08-11 09:18:25
12726,714870,9,43520892,81',Keiran Mcgachie (Bonnyrigg Rose) Substitution at 81',2024-08-11 09:18:25
12726,714870,10,43521007,86',Blair Henderson (Spartans FC) Goal at 86',2024-08-11 09:18:25
12726,714870,11,43521091,90',Archie Wylie (Spartans FC) Substitution at 90',2024-08-11 09:18:25
12726,714870,12,43521115,90'+2',James Craigen (Spartans FC) Yellow Card at 92',2024-08-11 09:18:25
12726,714871,0,43561421,11',Craig Howie (Clyde) Own Goal at 11',2024-08-18 05:56:17
12726,714871,1,43562139,33',Ricky Waugh (Stirling Albion) Yellow Card at 33',2024-08-18 05:56:17
12726,714871,2,43562459,42',Ross McGeachie (Stirling Albion) Yellow Card at 42',2024-08-18 05:56:17
12726,714871,3,43562955,45',Darren Hynes (Clyde) Substitution at 45',2024-08-18 05:56:17
12726,714871,4,43562956,45',Marley Redfern (Clyde) Substitution at 45',2024-08-18 05:56:17
12726,714871,5,43563354,55',Bailey Dall (Stirling Albion) Yellow Card at 55',2024-08-18 05:56:17
