seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12993,2024,IND.2,21311,130707,17,1,0,0,2,0,0,0,0,0,0,0,0,0,27,2025-03-21 04:47:47
12993,2024,IND.2,22472,141060,6,2,0,0,0,0,0,0,0,0,0,0,0,0,5,2025-03-21 04:47:46
12993,2024,IND.2,22473,141244,6,0,0,0,0,0,0,2,0,7,8,7,0,0,12,2025-03-21 04:47:44
12993,2024,IND.2,8896,146571,9,1,0,0,4,1,1,0,0,0,0,0,0,0,7,2025-03-21 04:47:44
12993,2024,IND.2,21311,149420,14,6,0,0,1,0,0,0,0,0,0,0,0,0,14,2025-03-21 04:47:47
12993,2024,IND.2,8896,151255,16,1,0,0,6,0,0,7,0,4,4,4,0,0,14,2025-03-21 04:47:44
12993,2024,IND.2,19341,152661,14,1,0,0,1,0,0,2,0,1,1,1,0,0,10,2025-03-21 04:47:46
12993,2024,IND.2,21311,155508,18,12,0,0,3,0,0,1,0,3,3,3,0,0,11,2025-03-21 04:47:47
12993,2024,IND.2,8896,164474,4,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2025-03-21 04:47:44
12993,2024,IND.2,18895,169652,6,1,0,0,2,0,0,0,0,1,1,1,0,0,7,2025-03-21 04:47:43
12993,2024,IND.2,22069,170396,16,1,0,0,2,0,0,5,0,3,3,3,0,0,16,2025-03-21 04:47:45
12993,2024,IND.2,18898,173006,14,0,0,0,0,0,0,2,0,11,11,11,0,0,25,2025-03-21 04:47:46
12993,2024,IND.2,18896,180171,17,0,0,0,5,0,0,4,0,1,1,1,0,0,20,2025-03-21 04:47:45
12993,2024,IND.2,18896,181257,16,7,0,0,1,0,0,2,0,6,6,5,0,0,8,2025-03-21 04:47:45
12993,2024,IND.2,22070,184454,4,0,0,0,1,0,0,0,0,1,1,1,0,0,5,2025-03-21 04:47:44
12993,2024,IND.2,18898,192834,15,1,0,0,3,1,0,4,0,3,3,3,0,0,27,2025-03-21 04:47:46
12993,2024,IND.2,21312,196710,17,0,0,0,4,0,0,5,0,7,7,6,0,0,22,2025-03-21 04:47:45
12993,2024,IND.2,21312,197467,6,0,0,0,2,0,0,0,0,0,0,0,0,0,10,2025-03-21 04:47:45
12993,2024,IND.2,18896,198090,19,1,0,0,3,0,0,7,0,9,9,9,0,0,24,2025-03-21 04:47:45
12993,2024,IND.2,21312,199815,16,0,0,0,3,0,0,1,0,1,1,1,0,0,17,2025-03-21 04:47:45
12993,2024,IND.2,22070,201741,6,0,0,0,0,0,0,2,0,0,0,0,0,0,15,2025-02-21 05:47:21
12993,2024,IND.2,21311,213090,19,3,0,0,3,0,1,2,0,14,15,14,0,0,29,2025-03-21 04:47:47
12993,2024,IND.2,22071,218247,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2025-03-21 04:47:45
12993,2024,IND.2,22472,221142,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2025-03-21 04:47:46
12993,2024,IND.2,19341,222223,16,4,0,0,2,0,0,1,0,7,7,7,0,0,14,2025-03-21 04:47:46
12993,2024,IND.2,22069,222528,6,4,0,0,4,0,0,0,0,2,2,2,0,0,3,2025-03-21 04:47:45
12993,2024,IND.2,22070,226356,7,3,0,0,0,0,0,0,0,0,0,0,0,0,4,2025-03-21 04:47:44
12993,2024,IND.2,21311,226880,16,3,0,0,2,0,0,2,0,2,2,2,0,0,24,2025-03-21 04:47:47
12993,2024,IND.2,22069,226910,18,0,0,0,5,0,0,0,0,0,0,0,0,0,27,2025-03-21 04:47:45
12993,2024,IND.2,22070,227841,5,1,0,0,4,0,0,0,0,0,0,0,0,0,6,2025-03-21 04:47:44
12993,2024,IND.2,18895,227910,12,0,0,0,2,1,0,0,0,0,0,0,0,0,17,2025-03-21 04:47:43
12993,2024,IND.2,22069,227918,18,0,0,0,3,0,0,0,0,0,0,0,0,0,26,2025-03-21 04:47:45
12993,2024,IND.2,22472,227965,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2025-03-21 04:47:46
12993,2024,IND.2,19341,232204,19,2,0,0,1,0,0,3,0,5,6,5,0,0,17,2025-03-21 04:47:46
12993,2024,IND.2,8896,232410,18,0,0,0,5,0,0,1,0,5,5,5,0,0,18,2025-03-21 04:47:44
12993,2024,IND.2,22071,233514,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-03-21 04:47:45
12993,2024,IND.2,22472,234223,12,1,0,0,0,0,0,2,0,4,4,4,0,0,21,2025-03-21 04:47:46
12993,2024,IND.2,22069,235184,19,0,0,0,2,0,0,1,0,7,7,7,0,0,29,2025-03-21 04:47:45
12993,2024,IND.2,22069,243311,18,0,0,0,5,0,0,4,0,2,2,2,0,0,26,2025-03-21 04:47:45
12993,2024,IND.2,18895,245809,5,3,0,0,1,1,0,0,0,0,0,0,0,0,8,2025-03-21 04:47:43
12993,2024,IND.2,18896,245817,12,1,0,0,0,1,0,0,0,0,0,0,0,0,15,2025-03-21 04:47:45
12993,2024,IND.2,22473,246789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-21 04:47:44
12993,2024,IND.2,18896,247676,6,3,0,0,1,0,0,1,0,6,6,6,0,0,6,2025-03-21 04:47:45
